n,gender,tournament,era,best_strategy,best_aw_mae,best_exact_pct,best_outcome_pct,Plan05_aw,ExpA_aw,ExpB_aw,ExpC_aw,ExpD_aw
144,W,FIFA World Cup qualification,2023-2026,Plan01,2.501149338407216,9.027777777777777,67.36111111111111,2.501149338407216,2.501149338407216,2.501149338407216,2.501149338407216,2.501149338407216
144,W,Cyprus Cup,2011-2014,Plan01,2.1926108760571545,8.333333333333332,50.0,2.1926108760571545,2.1926108760571545,2.1926108760571545,2.1926108760571545,2.1926108760571545
144,W,Algarve Cup,2011-2014,Plan01,2.017259219331338,15.972222222222221,64.58333333333334,2.017259219331338,2.017259219331338,2.017259219331338,2.017259219331338,2.017259219331338
142,M,CFU Caribbean Cup qualification,2011-2014,Plan01,2.729452799070387,14.084507042253522,61.97183098591549,2.729452799070387,2.729452799070387,2.729452799070387,2.729452799070387,2.729452799070387
136,M,Island Games,2015-2018,Plan01,2.384236948038458,15.441176470588236,66.91176470588235,2.384236948038458,2.384236948038458,2.384236948038458,2.384236948038458,2.384236948038458
134,M,COSAFA Cup,2019-2022,Plan01,1.93692365334085,17.91044776119403,50.0,1.93692365334085,1.93692365334085,1.93692365334085,1.93692365334085,1.93692365334085
130,M,AFC Asian Cup qualification,2023-2026,Plan01,2.0719581315494198,14.615384615384617,66.92307692307692,2.0719581315494198,2.0719581315494198,2.0719581315494198,2.0719581315494198,2.0719581315494198
128,M,FIFA World Cup,2019-2022,Plan01,2.3609386700882684,12.5,51.5625,2.3609386700882684,2.3609386700882684,2.3609386700882684,2.3609386700882684,2.3609386700882684
128,M,FIFA World Cup,2011-2014,ExpA,2.4534640969567905,10.15625,49.21875,2.5015215974487703,2.4534640969567905,2.4534640969567905,2.4534640969567905,2.4534640969567905
128,W,FIFA World Cup,2023-2026,Plan01,2.4917762544769015,14.0625,56.25,2.4917762544769015,2.509033843654193,2.4978262354850367,2.509033843654193,2.509033843654193
128,M,FIFA World Cup,2015-2018,ExpA,2.3733033763929337,17.1875,49.21875,2.425305978804391,2.3733033763929337,2.3733033763929337,2.3733033763929337,2.3733033763929337
128,M,African Cup of Nations,2011-2014,ExpB,1.8880174248363746,23.4375,53.125,1.9099933103557165,1.9099933103557165,1.8880174248363746,1.8880174248363746,1.9099933103557165
128,M,African Cup of Nations,2015-2018,Plan01,1.7835162489823313,17.96875,53.125,1.7835162489823313,1.7835162489823313,1.7835162489823313,1.8805840873382196,1.7835162489823313
124,M,Gold Cup,2023-2026,Plan01,2.234844593141676,14.516129032258066,64.51612903225806,2.234844593141676,2.234844593141676,2.234844593141676,2.234844593141676,2.234844593141676
124,M,Gold Cup,2019-2022,Plan01,2.046490874105613,12.096774193548388,66.12903225806451,2.046490874105613,2.046490874105613,2.046490874105613,2.046490874105613,2.046490874105613
124,W,AFC Olympic Qualifying Tournament,2015-2018,Plan01,3.1163520293275466,8.064516129032258,62.903225806451616,3.1163520293275466,3.1163520293275466,3.1163520293275466,3.1163520293275466,3.1163520293275466
124,W,African Cup of Nations qualification,2015-2018,ExpA,2.361691447944273,12.903225806451612,57.25806451612904,2.393312097573013,2.361691447944273,2.361691447944273,2.361691447944273,2.361691447944273
120,M,AFC Asian Cup qualification,2011-2014,Plan01,1.8213582631309018,16.666666666666664,65.0,1.8213582631309018,1.8213582631309018,1.8213582631309018,1.8213582631309018,1.8213582631309018
120,W,CONCACAF Championship qualification,2019-2022,ExpB,3.507615830625065,5.833333333333333,85.0,3.580856979502816,3.580856979502816,3.507615830625065,3.580856979502816,3.580856979502816
116,W,African Cup of Nations qualification,2019-2022,Plan01,2.9633721406498528,10.344827586206897,65.51724137931035,2.9633721406498528,2.9633721406498528,2.9633721406498528,2.9633721406498528,2.9633721406498528
116,M,Copa América,2015-2018,Plan01,2.3793713968377768,10.344827586206897,50.86206896551724,2.3793713968377768,2.3793713968377768,2.3793713968377768,2.3793713968377768,2.3793713968377768
114,M,FIFA Series,2023-2026,ExpC,2.5464538081305212,14.035087719298245,68.42105263157895,2.5916162839087233,2.5916162839087233,2.5916162839087233,2.5464538081305212,2.5916162839087233
112,W,AFC Asian Cup qualification,2023-2026,Plan01,3.2297352815314073,5.357142857142857,66.96428571428571,3.2297352815314073,3.2297352815314073,3.2297352815314073,3.2297352815314073,3.2297352815314073
110,W,African Championship qualification,2011-2014,Plan01,2.3536999933331155,17.272727272727273,70.0,2.3536999933331155,2.3536999933331155,2.3536999933331155,2.3536999933331155,2.3536999933331155
108,W,CONCACAF Championship qualification,2015-2018,Plan01,3.164807256192358,7.4074074074074066,72.22222222222221,3.164807256192358,3.164807256192358,3.164807256192358,3.164807256192358,3.164807256192358
108,M,Copa América,2019-2022,Plan01,1.9778015473161272,12.962962962962962,60.18518518518518,1.9778015473161272,1.9778015473161272,1.9778015473161272,1.9778015473161272,1.9778015473161272
104,W,FIFA World Cup,2015-2018,ExpA,2.104000678187764,12.5,68.26923076923077,2.168521372798185,2.104000678187764,2.104000678187764,2.104000678187764,2.104000678187764
104,W,FIFA World Cup,2019-2022,Plan01,1.8921307753770682,18.269230769230766,73.07692307692307,1.8921307753770682,1.8921307753770682,1.8921307753770682,1.8921307753770682,1.8921307753770682
102,M,UEFA Euro,2015-2018,ExpD,2.3837990378641987,15.686274509803921,27.450980392156865,2.520959623433636,2.430437759117733,2.430437759117733,2.430437759117733,2.3837990378641987
102,M,UEFA Euro,2019-2022,Plan01,2.4179226458244423,10.784313725490197,50.0,2.4179226458244423,2.4179226458244423,2.4179226458244423,2.4179226458244423,2.4179226458244423
102,M,Gold Cup,2015-2018,Plan01,1.7508440020473315,19.607843137254903,66.66666666666666,1.7508440020473315,1.7508440020473315,1.7508440020473315,1.7508440020473315,1.7508440020473315
102,M,AFC Asian Cup,2019-2022,ExpA,2.3253171309233878,15.686274509803921,59.80392156862745,2.3863228100160114,2.3253171309233878,2.3253171309233878,2.3253171309233878,2.3253171309233878
102,M,AFC Asian Cup,2023-2026,Plan01,1.9580954791160234,16.666666666666664,58.82352941176471,1.9580954791160234,1.9580954791160234,1.9580954791160234,1.9580954791160234,1.9580954791160234
102,M,UEFA Euro,2023-2026,Plan01,1.9232838467462123,20.588235294117645,54.90196078431373,1.9232838467462123,1.9232838467462123,1.9232838467462123,1.9232838467462123,1.9232838467462123
100,M,CONCACAF Nations League qualification,2015-2018,Plan01,3.3825032336865326,8.0,70.0,3.3825032336865326,3.3825032336865326,3.3825032336865326,3.5541347231527096,3.3825032336865326
100,W,Africa Cup of Nations qualification,2023-2026,ExpB,2.485832445928219,8.0,54.0,2.490605490470584,2.490605490470584,2.485832445928219,2.490605490470584,2.490605490470584
92,W,AFC Olympic Qualifying Tournament,2023-2026,Plan01,3.025913749707314,7.608695652173914,71.73913043478261,3.025913749707314,3.025913749707314,3.025913749707314,3.025913749707314,3.025913749707314
92,M,CECAFA Cup,2015-2018,Plan03,2.004859201791476,17.391304347826086,54.347826086956516,2.004859201791476,2.004859201791476,2.004859201791476,2.004859201791476,2.004859201791476
88,M,AFF Championship,2015-2018,ExpA,1.6857966653921492,12.5,73.86363636363636,1.6881165774232243,1.6857966653921492,1.6857966653921492,1.6857966653921492,1.6857966653921492
88,W,COSAFA Championship,2015-2018,Plan01,2.9328006154589987,6.8181818181818175,63.63636363636363,2.9328006154589987,2.9328006154589987,2.9328006154589987,2.9328006154589987,2.9328006154589987
